condition,method,case_key,psnr,ssim
R1,degraded,native192:ds002870_sub-124_ses-1:sl006,20.93603093081701,0.3828175365924835
R1,degraded,native192:ds005186_sub-15:sl007,22.534303089658344,0.45628252625465393
R1,degraded,native192:ds005236_sub-11:sl007,23.256305131525302,0.47374168038368225
R1,degraded,native192:lab_87bfef14852f_e2:sl002,18.8758647771275,0.3546590209007263
R1,tikhonov,native192:ds002870_sub-124_ses-1:sl006,25.385688206778593,0.5608176589012146
R1,tikhonov,native192:ds005186_sub-15:sl007,25.5246259976483,0.5712247490882874
R1,tikhonov,native192:ds005236_sub-11:sl007,25.900667566943095,0.5513954758644104
R1,tikhonov,native192:lab_87bfef14852f_e2:sl002,25.374928497811354,0.5721821784973145
R1,phase_inva,native192:ds002870_sub-124_ses-1:sl006,29.44018976088296,0.7468050718307495
R1,phase_inva,native192:ds005186_sub-15:sl007,31.092722687336337,0.8578484654426575
R1,phase_inva,native192:ds005236_sub-11:sl007,31.77706537514712,0.8588710427284241
R1,phase_inva,native192:lab_87bfef14852f_e2:sl002,27.643679644971474,0.7362998127937317
R1,pixel,native192:ds002870_sub-124_ses-1:sl006,28.309307854063476,0.6832364201545715
R1,pixel,native192:ds005186_sub-15:sl007,30.266635358817197,0.7741408944129944
R1,pixel,native192:ds005236_sub-11:sl007,30.656605873433065,0.7613781094551086
R1,pixel,native192:lab_87bfef14852f_e2:sl002,27.76717967722961,0.6780622005462646
R1,latent,native192:ds002870_sub-124_ses-1:sl006,30.258922030311442,0.7490863800048828
R1,latent,native192:ds005186_sub-15:sl007,33.700170275952416,0.8731455206871033
R1,latent,native192:ds005236_sub-11:sl007,34.37049593648951,0.8782129883766174
R1,latent,native192:lab_87bfef14852f_e2:sl002,29.620428553562725,0.7544226050376892
R2,degraded,native192:ds002870_sub-124_ses-1:sl006,11.088668876912276,0.12642012536525726
R2,degraded,native192:ds005186_sub-15:sl007,10.89967537997017,0.13269387185573578
R2,degraded,native192:ds005236_sub-11:sl007,11.77438650506597,0.14847366511821747
R2,degraded,native192:lab_87bfef14852f_e2:sl002,11.853994378030588,0.13634467124938965
R2,tikhonov,native192:ds002870_sub-124_ses-1:sl006,15.690877558997085,0.18063977360725403
R2,tikhonov,native192:ds005186_sub-15:sl007,15.431992844622812,0.1782607138156891
R2,tikhonov,native192:ds005236_sub-11:sl007,16.0914133541638,0.16933216154575348
R2,tikhonov,native192:lab_87bfef14852f_e2:sl002,16.241045015049583,0.21439304947853088
R2,phase_inva,native192:ds002870_sub-124_ses-1:sl006,13.997328793158479,0.2879009544849396
R2,phase_inva,native192:ds005186_sub-15:sl007,14.155281407946498,0.2882925868034363
R2,phase_inva,native192:ds005236_sub-11:sl007,15.058070727529216,0.3212999403476715
R2,phase_inva,native192:lab_87bfef14852f_e2:sl002,14.975063132446401,0.32111671566963196
R2,pixel,native192:ds002870_sub-124_ses-1:sl006,21.71507077356371,0.37660250067710876
R2,pixel,native192:ds005186_sub-15:sl007,22.15375349172941,0.4038643538951874
R2,pixel,native192:ds005236_sub-11:sl007,22.406384625144938,0.37945395708084106
R2,pixel,native192:lab_87bfef14852f_e2:sl002,21.25625185800129,0.3782196640968323
R2,latent,native192:ds002870_sub-124_ses-1:sl006,25.607665616661258,0.5798290967941284
R2,latent,native192:ds005186_sub-15:sl007,27.297967289386932,0.6770952343940735
R2,latent,native192:ds005236_sub-11:sl007,27.651127232195833,0.6804764866828918
R2,latent,native192:lab_87bfef14852f_e2:sl002,24.60667468192662,0.5614815950393677
